"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","idcat","valence2","valcat","val2cat"
204,NA,"negative","inhibited",NA,NA,NA,NA,0,16,16,25,NA,NA,NA,NA,"down",0,1.058744907,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,17,-0.075,1.058744907,6.96483943556508,204,-0.5,1058.744907,"204",-1,"-0.5","-1"
204,NA,"negative","withdrawn",NA,NA,NA,NA,0,17,17,38,NA,NA,NA,NA,"down",0,0.792232037,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,18,-0.05,0.792232037,6.67485432491544,204,-0.5,792.232037,"204",-1,"-0.5","-1"
204,NA,"negative","messy",NA,NA,NA,NA,0,18,18,36,NA,NA,NA,NA,"down",0,0.726948023,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,19,-0.025,0.726948023,6.58885497979192,204,-0.5,726.948023,"204",-1,"-0.5","-1"
204,NA,"negative","antisocial",NA,NA,NA,NA,0,19,19,33,NA,NA,NA,NA,"down",0,0.858376026,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,20,0,0.858376026,6.75504226222191,204,-0.5,858.376026,"204",-1,"-0.5","-1"
204,NA,"positive","inventive",NA,NA,NA,NA,0,20,20,18,NA,NA,NA,NA,"down",0,1.391800165,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,21,0.025,1.391800165,7.23835327096226,204,0.5,1391.800165,"204",1,"0.5","1"
204,NA,"negative","timid",NA,NA,NA,NA,0,21,21,28,NA,NA,NA,NA,"down",0,1.176858902,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,22,0.05,1.176858902,7.07060422071988,204,-0.5,1176.858902,"204",-1,"-0.5","-1"
204,NA,"positive","brilliant",NA,NA,NA,NA,0,22,22,12,NA,NA,NA,NA,"up",0,0.858991861,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,23,0.075,0.858991861,6.75575944696847,204,0.5,858.991861,"204",1,"0.5","1"
204,NA,"negative","forgetful",NA,NA,NA,NA,0,23,23,31,NA,NA,NA,NA,"down",0,0.825510025,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,24,0.1,0.825510025,6.7160014074415,204,-0.5,825.510025,"204",-1,"-0.5","-1"
204,NA,"positive","orderly",NA,NA,NA,NA,0,24,24,14,NA,NA,NA,NA,"up",0,0.792859077,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,25,0.125,0.792859077,6.67564549714165,204,0.5,792.859077,"204",1,"0.5","1"
204,NA,"negative","fearful",NA,NA,NA,NA,0,25,25,24,NA,NA,NA,NA,"down",0,0.593091011,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,26,0.15,0.593091011,6.38534786276962,204,-0.5,593.091011,"204",-1,"-0.5","-1"
204,NA,"positive","persistent",NA,NA,NA,NA,0,26,26,13,NA,NA,NA,NA,"up",0,0.756456137,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,27,0.175,0.756456137,6.6286445500537,204,0.5,756.456137,"204",1,"0.5","1"
