"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r","pred","logRT"
1,2,17,"folder/matchedM019.png  ",1,1.316906593,1,4,2,4,1,0.947916667,"Selected",-0.475277512,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,16,1.5475662747823,0.275285496176057
1,2,18,"folder/matchedM006SL.png",5,1.149329135,1,4,2,4,1,0.947916667,"Selected",-0.628173092,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,17,2.00003306419206,0.139178411284438
1,2,19,"folder/matchedM001SR.png",5,2.086219302,1,2,2,2,1,0.947916667,"Selected",0.2266338,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,18,2.00003306419206,0.735353481445865
1,2,21,"folder/matchedM016.png  ",1,1.02242775,1,1,2,1,1,0.947916667,"Selected",-0.743956331,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,20,1.5475662747823,0.0221799462915748
1,2,22,"folder/matchedM002SL.png",5,1.085902006,1,4,2,4,1,0.947916667,"Selected",-0.686043213,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,21,2.00003306419206,0.0824109835546022
1,2,23,"folder/matchedM016SL.png",6,1.093227514,1,1,1,1,1,0.947916667,"Selected",-0.679359511,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,22,2.00003306419206,0.0891343430682682
1,2,24,"folder/matchedM067.png  ",1,1.126879427,1,4,2,4,1,0.947916667,"Selected",-0.648655925,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,23,1.5475662747823,0.119452243531233
1,2,25,"folder/matchedM008.png  ",2,1.154658506,1,2,1,2,1,0.947916667,"Selected",-0.62331064,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,24,1.5475662747823,0.143804634455141
1,2,26,"folder/matchedM006.png  ",1,1.005945131,1,1,2,1,1,0.947916667,"Selected",-0.758994867,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,25,1.5475662747823,0.00592752844058922
1,2,27,"folder/matchedM049.png  ",1,1.000397882,1,4,2,4,1,0.947916667,"Selected",-0.764056108,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,26,1.5475662747823,0.000397802865946924
1,2,28,"folder/matchedM006SL.png",6,0.855814041,1,4,1,4,1,0.947916667,"Selected",-0.8959726,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,27,2.00003306419206,-0.155702168263248
1,2,30,"folder/matchedM021SL.png",5,1.33268143,1,4,2,4,1,0.947916667,"Selected",-0.460884747,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,29,2.00003306419206,0.287193025387757
1,2,33,"folder/matchedM067SR.png",5,1.06703872,1,4,2,4,1,0.947916667,"Selected",-0.703253839,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,32,2.00003306419206,0.0648872603209926
1,2,34,"folder/matchedM021SL.png",6,2.35412853,1,2,1,2,1,0.947916667,"Selected",0.471070835,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,33,2.00003306419206,0.856170608027216
1,2,35,"folder/matchedM067SR.png",6,1.636149348,1,2,1,2,1,0.947916667,"Selected",-0.184004407,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,34,2.00003306419206,0.49234552252257
1,2,37,"folder/matchedM003SR.png",5,1.50642845,1,2,2,2,1,0.947916667,"Selected",-0.302360135,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,36,2.00003306419206,0.409741584268499
1,2,39,"folder/matchedM072.png  ",2,1.916018216,1,1,1,1,1,0.947916667,"Selected",0.071344454,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,38,1.5475662747823,0.650249186810364
1,2,44,"folder/matchedM008.png  ",1,1.671310705,1,2,2,2,1,0.947916667,"Selected",-0.151923624,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,43,1.5475662747823,0.513608171885791
1,2,46,"folder/matchedM001SR.png",6,2.044946541,1,3,1,3,1,0.947916667,"Selected",0.188977048,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,45,2.00003306419206,0.715371647832781
1,2,47,"folder/matchedM020.png  ",2,1.354818644,1,1,1,1,1,0.947916667,"Selected",-0.440687029,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,46,1.5475662747823,0.303667603307595
1,2,50,"folder/matchedM001.png  ",2,0.908281353,1,4,1,4,1,0.947916667,"Selected",-0.848102079,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,49,1.5475662747823,-0.0962010882454213
1,2,52,"folder/matchedM005.png  ",1,1.144848614,1,3,2,3,1,0.947916667,"Selected",-0.632261063,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,51,1.5475662747823,0.135272413417888
1,2,53,"folder/matchedM024.png  ",1,1.205013288,1,3,2,3,1,0.947916667,"Selected",-0.577367566,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,52,1.5475662747823,0.186490594267709
1,2,54,"folder/matchedM002.png  ",2,0.946024568,1,2,1,2,1,0.947916667,"Selected",-0.813665641,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,53,1.5475662747823,-0.0554867398657925
1,2,55,"folder/matchedM005.png  ",2,1.113475136,1,2,1,2,1,0.947916667,"Selected",-0.660885834,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,54,1.5475662747823,0.107485877874598
1,2,56,"folder/matchedM017SR.png",5,0.865004671,1,3,2,3,1,0.947916667,"Selected",-0.887587184,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,55,2.00003306419206,-0.145020372064838
1,2,57,"folder/matchedM003.png  ",2,1.314078507,1,3,1,3,1,0.947916667,"Selected",-0.477857821,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,56,1.5475662747823,0.273135664853006
1,2,58,"folder/matchedM002.png  ",1,1.125257905,1,4,2,4,1,0.947916667,"Selected",-0.650135382,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,57,1.5475662747823,0.118012258271761
1,2,60,"folder/matchedM049.png  ",2,0.993855928,1,4,1,4,1,0.947916667,"Selected",-0.770024905,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,59,1.5475662747823,-0.00616302448051844
1,2,61,"folder/matchedM016SL.png",5,1.014568069,1,2,2,2,1,0.947916667,"Selected",-0.751127406,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,60,2.00003306419206,0.0144629741393458
1,2,62,"folder/matchedM072.png  ",1,1.015100727,1,1,2,1,1,0.947916667,"Selected",-0.750641416,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,61,1.5475662747823,0.0149878459935895
1,2,63,"folder/matchedM003.png  ",1,1.495876916,1,3,2,3,1,0.947916667,"Selected",-0.311987223,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,62,1.5475662747823,0.40271260076641
1,2,64,"folder/matchedM067.png  ",2,1.394884978,1,2,1,2,1,0.947916667,"Selected",-0.404131007,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,63,1.5475662747823,0.332811958827295
1,2,65,"folder/matchedM017.png  ",2,1.305399994,1,4,1,4,1,0.947916667,"Selected",-0.485775988,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,64,1.5475662747823,0.266509502622688
1,2,67,"folder/matchedM072SL.png",5,1.393046747,1,1,2,1,1,0.947916667,"Selected",-0.405808186,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,66,2.00003306419206,0.331493252741414
1,2,70,"folder/matchedM020.png  ",1,0.922488308,1,4,2,4,1,0.947916667,"Selected",-0.835139831,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,69,1.5475662747823,-0.0806805774025164
1,2,72,"folder/matchedM021.png  ",1,1.822227466,1,2,2,2,1,0.947916667,"Selected",-0.014229055,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,71,1.5475662747823,0.60005963517272
1,2,73,"folder/matchedM002SL.png",6,1.775120962,1,3,1,3,1,0.947916667,"Selected",-0.057208442,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,72,2.00003306419206,0.57386856821107
1,2,76,"folder/matchedM021.png  ",2,1.065500344,1,1,1,1,1,0.947916667,"Selected",-0.704657434,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,75,1.5475662747823,0.0634444954096032
1,2,78,"folder/matchedM016.png  ",2,1.035639099,1,3,1,3,1,0.947916667,"Selected",-0.731902462,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,77,1.5475662747823,0.0350187231072276
1,2,85,"folder/matchedM004SL.png",5,1.477339327,1,1,2,1,1,0.947916667,"Selected",-0.328900688,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,84,2.00003306419206,0.390242717853481
1,2,86,"folder/matchedM024SR.png",5,2.033889879,1,3,2,3,1,0.947916667,"Selected",0.178889088,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,85,2.00003306419206,0.709950156042745
1,2,87,"folder/matchedM020SR.png",5,2.706543232,1,3,2,3,1,0.947916667,"Selected",0.79260961,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,86,2.00003306419206,0.995672260524699
1,2,88,"folder/matchedM017SR.png",6,1.805728882,1,2,1,2,1,0.947916667,"Selected",-0.029282158,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,87,2.00003306419206,0.590964323016804
1,2,91,"folder/matchedM006.png  ",2,1.222670839,1,2,1,2,1,0.947916667,"Selected",-0.561257037,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,90,1.5475662747823,0.201037678206655
1,2,92,"folder/matchedM008SR.png",5,1.134867159,1,4,2,4,1,0.947916667,"Selected",-0.641368018,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,91,2.00003306419206,0.126515603554954
1,2,94,"folder/matchedM019SL.png",5,1.113276389,1,3,2,3,1,0.947916667,"Selected",-0.661067167,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,93,2.00003306419206,0.107307369407626
1,2,95,"folder/matchedM072SL.png",6,3.013668273,1,4,1,4,1,0.947916667,"Selected",1.072826663,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,94,2.00003306419206,1.10315803210324
1,2,96,"folder/matchedM004SL.png",6,1.566784585,1,4,1,4,1,0.947916667,"Selected",-0.247291951,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,95,2.00003306419206,0.44902548423676
2,2,1,"folder/matchedM049.png  ",1,1.317236992,1,2,2,2,1,0.921875,"Selected",-0.499945689,0,13,33,125,507,99,"R  ",0.81,0.81,32,1,1,1,0,0,1.60724238916077,0.27553635493988
2,2,2,"folder/matchedM017SR.png",5,2.755994724,1,3,2,3,1,0.921875,"Selected",0.51636961,0,13,33,125,507,99,"R  ",0.81,0.81,32,1,3,0,0,1,2.08728131769129,1.01377843878093
