"id1","subject","subj","age","gender","gender_TEXT","hispanic","race","race_TEXT","relstat","relstat_TEXT","ass.matrix.1","ass.matrix.2","ass.matrix.3","ass.matrix.4","ass.matrix.5","ass.matrix.6","ass.matrix.7","ass.matrix.8","ass.matrix.9","ass.matrix.10","ass.matrix.11","ass.matrix.12","ass.v","ass.c","rmpredom","rmpredomave","rmpredom.c","rmpredomave.c","prom.matrix.1","prom.matrix.2","prom.matrix.3","prom.matrix.4","prom.matrix.5","prom.v","prom.c","prev.matrix.1","prev.matrix.2","prev.matrix.3","prev.matrix.4","prev.matrix.5","prev.v","prev.c","rfpredom","rfpredomave","rfpredom.c","rfpredomave.c","se.all.1","se.all.2","se.all.3","se.all.4","se.all.5","se.all.6","se.all.7","se.all.8","se.all.9","se.all.10","se.v","se.c","pracword","valence","word","response.rt","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","cynical",0.6596160,1,  201,35, 0.375,0.6596160,6.491658,201,-0.5, 659.6160,-0.942079801
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","idealistic",0.6255448,1,  201,37, 0.425,0.6255448,6.438623,201, 0.5, 625.5448,-1.037769445
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","inventive",0.7422462,1,  201,40, 0.500,0.7422462,6.609681,201, 0.5, 742.2462,-0.710011414
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","disciplined",0.7249870,1,  202, 2,-0.450,0.7249870,6.586154,202, 0.5, 724.9870,-0.758483988
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"negative","irritable",1.1086020,1,  202, 3,-0.425,1.1086020,7.010855,202,-0.5,1108.6020, 0.318906174
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","trusting",0.7258430,1,  202, 5,-0.375,0.7258430,6.587334,202, 0.5, 725.8430,-0.756080112
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","talented",0.5924771,1,  202, 6,-0.350,0.5924771,6.384312,202, 0.5, 592.4771,-1.130640725
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"negative","worrying",0.8088801,1,  202, 9,-0.275,0.8088801,6.695651,202,-0.5, 808.8801,-0.522868711
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","persistent",0.7577460,1,  202,10,-0.250,0.7577460,6.630348,202, 0.5, 757.7460,-0.666479843
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","courageous",0.5917590,1,  202,11,-0.225,0.5917590,6.383099,202, 0.5, 591.7590,-1.132657571
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"negative","stubborn",0.7092030,1,  202,13,-0.175,0.7092030,6.564142,202,-0.5, 709.2030,-0.802813726
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","proud",0.5761139,1,  202,14,-0.150,0.5761139,6.356305,202, 0.5, 576.1139,-1.176596930
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"negative","tense",0.8768480,1,  202,15,-0.125,0.8768480,6.776334,202,-0.5, 876.8480,-0.331979580
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","orderly",0.7929361,1,  202,16,-0.100,0.7929361,6.675743,202, 0.5, 792.9361,-0.567647753
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","tidy",1.4442041,1,  202,17,-0.075,1.4442041,7.275314,202, 0.5,1444.2041, 1.261450979
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"positive","confident",0.5756059,1,  202,18,-0.050,0.5756059,6.355423,202, 0.5, 575.6059,-1.178023855
202,202,109054,22,1,NA, 0, 2,"",1,"",5,4,5,5,5,5,5,6,5,3,5,6,4.916667, 0.53914141,-0.25000000,4.791667,-0.48737374, 0.295454545,4,4,4,4,3,3.8, 0.14848485,4,4,3,4,4,3.8, 0.06060606, 0.0,3.8, 0.08787879, 0.104545455,6,5,7,6,6,6,7,5,7,6,6.1, 0.97575758,NA,"negative","moody",0.8935320,1,  202,19,-0.025,0.8935320,6.795182,202,-0.5, 893.5320,-0.285122088
