"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,1,95,"folder/matchedM003IN.png",4,4.75445006,1,2,1,2,1,0.947916667,"Selected",2.661094234,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,94
1,1,96,"folder/matchedM019IN.png",4,4.154964221,1,2,1,2,1,0.947916667,"Selected",2.114130838,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,95
1,2,1,"folder/matchedM005SR.png",6,1.284382145,1,1,1,1,1,0.947916667,"Selected",-0.504952412,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,0
1,2,2,"folder/matchedM019.png  ",2,1.184771283,1,2,1,2,1,0.947916667,"Selected",-0.595836119,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,1
1,2,3,"folder/matchedM008IN.png",3,0.990626459,1,4,2,4,1,0.947916667,"Selected",-0.772971433,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,2
1,2,4,"folder/matchedM024SR.png",6,1.249849095,1,1,1,1,1,0.947916667,"Selected",-0.536459935,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,3
1,2,5,"folder/matchedM020SR.png",6,1.288665111,1,1,1,1,1,0.947916667,"Selected",-0.501044687,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,4
1,2,6,"folder/matchedM024.png  ",2,1.467102784,1,3,1,3,1,0.947916667,"Selected",-0.338240382,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,5
1,2,7,"folder/matchedM067IN.png",4,1.789806195,1,3,1,3,1,0.947916667,"Selected",-0.043809818,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,6
1,2,8,"folder/matchedM016IN.png",3,1.178149834,1,1,2,1,1,0.947916667,"Selected",-0.601877446,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,7
1,2,9,"folder/matchedM019SL.png",6,2.718144371,1,3,1,3,1,0.947916667,"Selected",0.803194344,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,8
1,2,10,"folder/matchedM001.png  ",1,1.039964316,1,1,2,1,1,0.947916667,"Selected",-0.727956187,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,9
1,2,11,"folder/matchedM049SL.png",6,1.178133804,1,1,1,1,1,0.947916667,"Selected",-0.601892071,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,10
1,2,12,"folder/matchedM005SR.png",5,0.872888396,1,4,2,4,1,0.947916667,"Selected",-0.880394171,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,11
1,2,13,"folder/matchedM008IN.png",4,1.127445735,1,1,1,1,1,0.947916667,"Selected",-0.648139233,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,12
1,2,14,"folder/matchedM003SR.png",6,4.877543502,1,4,1,4,1,0.947916667,"Selected",2.773403153,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,13
1,2,15,"folder/matchedM049SL.png",5,1.136086921,1,4,2,4,1,0.947916667,"Selected",-0.640255123,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,14
1,2,16,"folder/matchedM004.png  ",2,1.017650551,1,1,1,1,1,0.947916667,"Selected",-0.748314988,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,15
