time,phase,hr,ibi,rrate,ramp,hrbase,ibibase,b.hr,b.ibi,b.rrate,b.ramp,b.hrbase,b.ibibase
168,femalereceive,65.703022,913.2,13.965638,0.005905,68.6811477,874.6273232,77.720207,772,19.446411,0.000012,89.4462967,672.0490033
169,femalereceive,62.434964,961,12.275178,0.000268,68.6811477,874.6273232,94.679892,633.714286,14.255743,0.002438,89.4462967,672.0490033
170,femalereceive,63.948841,938.25,13.60154,0.000444,68.6811477,874.6273232,84.151473,713,11.741741,0.000151,89.4462967,672.0490033
171,femalereceive,63.952249,938.2,20.43148,0.000373,68.6811477,874.6273232,96.908168,619.142857,17.46212,0.000095,89.4462967,672.0490033
172,femalereceive,69.304072,865.75,24.246976,0.00095,68.6811477,874.6273232,95.281307,629.714286,18.106019,0.000243,89.4462967,672.0490033
173,femalereceive,70.044361,856.6,13.858714,0.001006,68.6811477,874.6273232,87.378641,686.666667,15.643502,0.000138,89.4462967,672.0490033
174,femalereceive,67.980965,882.6,15.743142,0.00001,68.6811477,874.6273232,90.248183,664.833333,16.265808,0.000014,89.4462967,672.0490033
175,femalereceive,64.325918,932.75,17.94963,0.000025,68.6811477,874.6273232,88.142707,680.714286,17.527405,0.000138,89.4462967,672.0490033
176,femalereceive,63.424947,946,10.040899,0.000015,68.6811477,874.6273232,81.503283,736.166667,12.482106,0.000006,89.4462967,672.0490033
177,femalereceive,62.61414,958.25,12.549308,0.000052,68.6811477,874.6273232,86.413826,694.333333,16.878586,0.000014,89.4462967,672.0490033
178,femalereceive,61.412487,977,17.956381,0.000013,68.6811477,874.6273232,79.470199,755,14.863801,0.000009,89.4462967,672.0490033
179,femalereceive,63.191153,949.5,15.542876,0.000214,68.6811477,874.6273232,85.980416,697.833333,15.982898,0.00001,89.4462967,672.0490033
180,femalereceive,60.913706,985,15.184061,0.000034,68.6811477,874.6273232,87.064677,689.142857,14.014609,0.000039,89.4462967,672.0490033
181,femaleprovide,66.518847,902,18.827837,0.000519,68.6811477,874.6273232,90.712743,661.428571,16.719294,0.000136,89.4462967,672.0490033
